refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,11.9938,6.1601,0
VCOMP0,VCOMP0-1,0,-6.1601,0
VCOMP1,VCOMP1-0,11.9332,-1.02736,0.05
VCOMP1,VCOMP1-1,11.9311,-0.985539,0.05
VCOMP1,VCOMP1-2,11.9312,-0.987098,0.05
VCOMP1,VCOMP1-3,0.0160381,3,0.05
VCOMP2,VCOMP2-0,11.9314,-1.04066,0.05
VCOMP2,VCOMP2-1,11.9283,-0.978711,0.05
VCOMP2,VCOMP2-2,11.9284,-0.980626,0.05
VCOMP2,VCOMP2-3,0.017455,3,0.05
VCOMP3,VCOMP3-0,2.82895,-0.01,16
VCOMP3,VCOMP3-1,0.0113986,0.00249997,16
VCOMP3,VCOMP3-2,0.0114003,0.00249987,16
VCOMP3,VCOMP3-3,0.0113972,0.00250006,16
VCOMP3,VCOMP3-4,0.0113966,0.0025001,16
VCOMP4,VCOMP4-0,2.82863,-0.0299241,2.96296
VCOMP4,VCOMP4-1,2.8289,-0.0300173,2.96296
VCOMP4,VCOMP4-2,2.8289,-0.0300171,2.96296
VCOMP4,VCOMP4-3,2.82898,-0.0300448,2.96296
VCOMP4,VCOMP4-4,2.82884,-0.0299969,2.96296
VCOMP4,VCOMP4-5,0.00968718,0.0372675,2.96296
VCOMP4,VCOMP4-6,0.00818463,0.0377747,2.96296
VCOMP4,VCOMP4-7,0.00852806,0.0376587,2.96296
VCOMP4,VCOMP4-8,0.00959336,0.0372992,2.96296
VCOMP5,VCOMP5-0,11.5301,-0.0001,1000
VCOMP5,VCOMP5-1,0.00999197,0.0001,1000
VCOMP6,VCOMP6-0,11.5301,-0.16,0
VCOMP6,VCOMP6-1,2.83013,0.08,0
VCOMP6,VCOMP6-2,2.83013,0.08,0
VCOMP7,VCOMP7-0,11.974,-0.1601,5e-07
VCOMP7,VCOMP7-1,11.531,0.1601,5e-07
